town,county,avg_price,avg_att8,avg_download,crime_rate_per_100k,overall_score
GREAT YARMOUTH,NORFOLK,231690.55806274078,42.02,37.46634062481475,7195.07927829415,68.9
BRANDON,SUFFOLK,252605.52721088435,42.4,35.87642902564827,6530.314960629921,67.4
WYMONDHAM,NORFOLK,327178.78746594005,54.5,37.46634062481475,7195.07927829415,67.4
SWAFFHAM,NORFOLK,272873.2749003984,44.25,37.46634062481475,7195.07927829415,66.7
NORTH WALSHAM,NORFOLK,289730.3700787402,45.8,37.46634062481475,7195.07927829415,66.1
WISBECH,NORFOLK,289802.93511450384,45.5,37.46634062481475,7195.07927829415,66
DOWNHAM MARKET,NORFOLK,290700.07189542486,43.8,37.46634062481475,7195.07927829415,65.1
SHERINGHAM,NORFOLK,333197.1807228916,47.1,37.46634062481475,7195.07927829415,63.3
DEREHAM,NORFOLK,316522.3894582723,44.2,37.46634062481475,7195.07927829415,63.2
STOWMARKET,SUFFOLK,313427.0034965035,43.7,35.87642902564827,6530.314960629921,63.2
